title,article_url,source_url
Rivian allows you to disable all internet connectivity,https://rivian.com/support/article/can-i-disable-all-data-collection-from-my-vehicle,https://news.ycombinator.com
How Mark Klein told the EFF about Room 641A [book excerpt],https://thereader.mitpress.mit.edu/the-whistleblower-who-uncovered-the-nsas-big-brother-machine/,https://news.ycombinator.com
Shai-Hulud Themed Malware Found in the PyTorch Lightning AI Training Library,https://semgrep.dev/blog/2026/malicious-dependency-in-pytorch-lightning-used-for-ai-training/,https://news.ycombinator.com
"LinkedIn scans for 6,278 extensions and encrypts the results into every request",https://404privacy.com/blog/linkedin-is-scanning-your-browser-extensions-this-is-how-they-use-the-data/,https://news.ycombinator.com
I built a Game Boy emulator in F#,https://nickkossolapov.github.io/fame-boy/building-a-game-boy-emulator-in-fsharp/,https://news.ycombinator.com
CopyFail was not disclosed to Gentoo developer,https://www.openwall.com/lists/oss-security/2026/04/30/10,https://news.ycombinator.com
U.S. Senators Vote to Ban Themselves from Trading on Prediction Markets,https://www.wsj.com/politics/policy/senators-vote-to-ban-themselves-from-trading-on-prediction-markets-ae4535dd,https://news.ycombinator.com
Belgium stops decommissioning nuclear power plants,https://dpa-international.com/general-news/urn:newsml:dpa.com:20090101:260430-930-14717/,https://news.ycombinator.com
"Claude Code refuses requests or charges extra if your commits mention ""OpenClaw""",https://twitter.com/theo/status/2049645973350363168,https://news.ycombinator.com
How an oil refinery works,https://www.construction-physics.com/p/how-an-oil-refinery-works,https://news.ycombinator.com
Reverse Engineering SimTower,https://phulin.me/blog/simtower,https://news.ycombinator.com
Full-Text Search with DuckDB,https://peterdohertys.website/blog-posts/full-text-search-w-duckdb.html,https://news.ycombinator.com
"Durable queues, streams, pub/sub, and a cron scheduler – inside your SQLite file",https://honker.dev/,https://news.ycombinator.com
You can beat the binary search,https://lemire.me/blog/2026/04/27/you-can-beat-the-binary-search/,https://news.ycombinator.com
Does Postgres Scale?,https://www.dbos.dev/blog/benchmarking-workflow-execution-scalability-on-postgres,https://news.ycombinator.com
Follow-up to Carrot disclosure: Forgejo,https://dustri.org/b/follow-up-to-carrot-disclosure-forgejo.html,https://news.ycombinator.com
I aggregated 28 US Government auction sites into one search,https://bidprowl.com,https://news.ycombinator.com
10Gb/s Ethernet: what I did to get it working in my home,https://www.gilesthomas.com/2026/04/10g-ethernet-what-i-did,https://news.ycombinator.com
Mozilla's opposition to Chrome's Prompt API,https://github.com/mozilla/standards-positions/issues/1213#issuecomment-4347988313,https://news.ycombinator.com
Spain's parliament will act against massive IP blockages by LaLiga,https://www.democrata.es/en/politics/congress-and-senate/congress-will-act-against-massive-ip-blockages-by-laliga/,https://news.ycombinator.com
The Church Rock Uranium Mill Spill,https://en.wikipedia.org/wiki/Church_Rock_uranium_mill_spill,https://news.ycombinator.com
Recovering files from beyond the grave using PhotoRec,https://lost-number.bearblog.dev/recovering-files-from-beyond-the-grave-using-photorec/,https://news.ycombinator.com
How Semiconductors Were Made in America,https://www.siliconimist.com/p/semiconductors-made-in-america,https://news.ycombinator.com
A 1960s art school experiment that redefined creativity,https://thereader.mitpress.mit.edu/the-1960s-art-school-experiment-that-redefined-creativity/,https://news.ycombinator.com
The upsell game – Vercel upselling tactics revealed,https://theupsellgame.com/,https://news.ycombinator.com
Granite 4.1: IBM's 8B Model Matching 32B MoE,https://firethering.com/granite-4-1-ibm-open-source-model-family/,https://news.ycombinator.com
The Human Creativity Benchmark – Evaluating Generative AI in Creative Work,https://contralabs.com/research/human-creativity-benchmark,https://news.ycombinator.com
American Dads Became the Parents Their Fathers Never Were,https://www.derekthompson.org/p/why-do-richer-dads-spend-more-time,https://news.ycombinator.com
1.4 GW: battery storage at former Grohnde nuclear power plant,https://www.heise.de/en/news/1-4-GW-Huge-battery-storage-at-former-Grohnde-nuclear-power-plant-11277367.html,https://news.ycombinator.com
A Primer on Bézier Curves – So What Makes a Bézier Curve?,https://pomax.github.io/bezierinfo/,https://news.ycombinator.com
The Science Behind Honey's Eternal Shelf Life (2013),https://www.smithsonianmag.com/science-nature/the-science-behind-honeys-eternal-shelf-life-1218690/,https://news.ycombinator.com/?p=2
Kubereboot/Kured: Kubernetes Reboot Daemon,https://github.com/kubereboot/kured,https://news.ycombinator.com/?p=2
What can we gain by losing infinity?,https://www.quantamagazine.org/what-can-we-gain-by-losing-infinity-20260429/,https://news.ycombinator.com/?p=2
My Stratum-0 Atomic Clock,https://coverclock.blogspot.com/2017/05/my-stratum-0-atomic-clock_9.html,https://news.ycombinator.com/?p=2
Greptile's New Pricing Is Predatory,https://greptile-fail.vercel.app/,https://news.ycombinator.com/?p=2
Show HN: TRiP – a complete transformer engine in C built from scratch just by me,https://github.com/carlovalenti/TRiP,https://news.ycombinator.com/?p=2
DataCenter.FM – background noise app featuring the sound of the AI bubble,https://datacenter.fm/,https://news.ycombinator.com/?p=2
GCC 16 has been released,https://gcc.gnu.org/gcc-16/changes.html,https://news.ycombinator.com/?p=2
